District,Taluka,Village_Cluster,Latitude,Longitude,Season,Cane_Variety,Soil_Type,Irrigation_Method,Area_Harvested_Ha,Planting_Date,Harvest_Date,Harvest_Year,Avg_NDVI,Avg_EVI,Avg_LST_Celsius,Avg_Max_Temp_Celsius,Avg_Min_Temp_Celsius,Solar_Radiation_kWh,Avg_Humidity_Percent,Accumulated_Rainfall_mm,Yield_Tonnes_Ha
Ahmednagar,Kopargaon,Kopargaon_Cluster_13,19.2276,74.9898,Adsali,VSI 434,Clay Loam,Flood,0.71,16-09-2018,18-10-2019,2019,0.801,0.62,29.6,32.1,20.7,5.36,64.7,656.8,160.08
Ahmednagar,Rahata,Rahata_Cluster_16,19.2703,74.9887,Suru,CoM 0265,Sandy Loam,Flood,3.7,03-08-2019,25-11-2020,2020,0.462,0.326,33,34.4,19.1,5.87,58.3,624.2,125.83
Ahmednagar,Jamkhed,Jamkhed_Cluster_5,19.0733,75.1058,Suru,Co 92005,Clay Loam,Rainfed,1.4,22-09-2020,03-01-2022,2022,0.3,0.284,36.7,37.6,18,6.26,54.1,415,63.63
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_12,18.7554,74.8478,Suru,Co 86032,Clay Loam,Flood,3.17,23-08-2020,23-12-2021,2021,0.404,0.377,29.6,30.8,20.2,6.53,73.2,602.4,117.56
Ahmednagar,Nevasa,Nevasa_Cluster_7,18.6724,74.9145,Adsali,VSI 434,Sandy Loam,Flood,4.11,23-12-2022,14-04-2024,2024,0.647,0.453,29.7,31.7,18.5,6.44,51.5,468.9,166.7
Ahmednagar,Akole,Akole_Cluster_14,18.8006,74.6242,Pre-seasonal,CoM 0265,Clay Loam,Flood,4.46,09-02-2022,23-05-2023,2023,0.507,0.389,31,32.5,20.4,5.62,95,916.1,127.48
Ahmednagar,Akole,Akole_Cluster_8,18.6753,74.4032,Adsali,Co 92005,Black Cotton,Rainfed,3.86,20-01-2023,17-04-2024,2024,0.772,0.576,33.6,35.9,18.9,5.96,70.2,753.5,164.28
Ahmednagar,Nevasa,Nevasa_Cluster_19,18.8476,74.9189,Adsali,CoM 0265,Clay Loam,Flood,4.58,10-05-2019,27-07-2020,2020,0.804,0.612,30.7,33.1,22,5.98,48.2,324.2,137.14
Ahmednagar,Akole,Akole_Cluster_13,19.1209,75.1798,Suru,CoM 0265,Medium Black,Flood,2.3,15-08-2023,22-10-2024,2024,0.751,0.623,33.8,36.1,21.7,5.45,82.6,1116.8,129.98
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_11,19.1138,74.9366,Adsali,VSI 434,Sandy Loam,Drip,0.98,25-02-2023,20-03-2024,2024,0.85,0.586,33,35.6,21.9,5.1,69.7,774.5,180
Ahmednagar,Jamkhed,Jamkhed_Cluster_6,18.9702,74.9432,Suru,Co 92005,Sandy Loam,Rainfed,3.93,08-06-2020,30-07-2021,2021,0.476,0.334,37.4,38.8,18.1,5.18,58,548.8,63.17
Ahmednagar,Sangamner,Sangamner_Cluster_4,18.9191,75.1079,Suru,Co 86032,Black Cotton,Rainfed,2.23,06-11-2019,08-02-2021,2021,0.353,0.212,34.3,35.4,20.8,4.94,81.8,520.3,75.56
Ahmednagar,Karjat,Karjat_Cluster_19,19.1549,74.9565,Adsali,CoM 0265,Sandy Loam,Drip,2.26,02-12-2022,28-12-2023,2023,0.563,0.466,28.2,29.8,20.8,4.68,49.4,454.2,132.36
Ahmednagar,Kopargaon,Kopargaon_Cluster_10,18.5563,74.699,Pre-seasonal,VSI 434,Clay Loam,Drip,3.88,03-06-2021,08-10-2022,2022,0.784,0.567,32.1,34.5,20.3,5.12,70.1,729.1,153.62
Ahmednagar,Akole,Akole_Cluster_2,18.6906,74.5159,Adsali,Co 86032,Medium Black,Flood,0.86,13-02-2018,28-05-2019,2019,0.85,0.707,29.4,31.9,23.4,5.78,88.1,1027.6,180
Ahmednagar,Nevasa,Nevasa_Cluster_9,18.7533,74.2604,Pre-seasonal,Co 92005,Medium Black,Flood,4.11,16-12-2021,12-03-2023,2023,0.574,0.433,32.7,34.4,26,5.66,60,376.1,106.09
Ahmednagar,Nevasa,Nevasa_Cluster_15,18.6237,74.4566,Suru,VSI 434,Clay Loam,Rainfed,3.03,20-12-2018,23-03-2020,2020,0.3,0.299,33.9,34.8,19.9,7.09,54.8,402.1,75.3
Ahmednagar,Sangamner,Sangamner_Cluster_13,19.0906,75.1125,Suru,VSI 434,Medium Black,Rainfed,3.04,29-12-2017,22-04-2019,2019,0.531,0.377,33.2,34.8,19.9,6.05,61.1,330.5,108.07
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_18,18.5327,74.673,Suru,Co 86032,Black Cotton,Drip,4.63,26-01-2023,23-05-2024,2024,0.537,0.438,31,32.7,20.5,5.61,42.1,543.4,121.47
Ahmednagar,Nevasa,Nevasa_Cluster_13,19.2104,75.1342,Pre-seasonal,CoM 0265,Black Cotton,Flood,3.88,13-05-2023,28-05-2024,2024,0.789,0.692,31.8,34.2,18.2,5.88,68.2,490.2,168.07
Ahmednagar,Kopargaon,Kopargaon_Cluster_7,19.3666,75.0454,Pre-seasonal,Co 92005,Sandy Loam,Flood,0.58,23-07-2022,01-08-2023,2023,0.574,0.416,28.9,30.6,20.8,6.35,68,332.1,132.04
Ahmednagar,Akole,Akole_Cluster_11,18.9444,75.193,Suru,VSI 434,Clay Loam,Drip,3.98,21-01-2018,21-04-2019,2019,0.648,0.486,35.8,37.7,19,5.95,68.2,777.4,130.36
Ahmednagar,Nevasa,Nevasa_Cluster_2,19.2172,75.1141,Pre-seasonal,VSI 434,Clay Loam,Rainfed,4.99,06-06-2020,06-07-2021,2021,0.421,0.386,29.3,30.5,16.6,5.74,40.1,320.4,71.79
Ahmednagar,Rahuri,Rahuri_Cluster_6,18.5413,74.842,Suru,Co 92005,Black Cotton,Flood,4.95,04-05-2023,09-09-2024,2024,0.457,0.338,34.4,35.8,18.7,5.46,79.6,685.7,103.42
Ahmednagar,Shrirampur,Shrirampur_Cluster_7,18.7865,74.8771,Adsali,CoM 0265,Sandy Loam,Drip,1.77,16-11-2020,19-01-2022,2022,0.85,0.599,28.3,30.9,17.8,6.57,63.9,527.2,180
Ahmednagar,Parner,Parner_Cluster_10,18.5872,75.0351,Suru,Co 86032,Clay Loam,Flood,3.64,28-03-2019,09-05-2020,2020,0.612,0.442,35.6,37.4,16.4,6.06,64.4,467.2,100.86
Ahmednagar,Parner,Parner_Cluster_13,18.6067,74.979,Suru,Co 92005,Medium Black,Flood,3.05,07-10-2022,24-11-2023,2023,0.635,0.486,32.8,34.8,22.6,6.59,64.2,302.1,125.84
Ahmednagar,Kopargaon,Kopargaon_Cluster_10,18.9571,74.6414,Suru,Co 86032,Clay Loam,Rainfed,2.8,11-03-2023,06-05-2024,2024,0.664,0.538,32.2,34.2,19.4,4.67,70,403.8,75.91
Ahmednagar,Shrirampur,Shrirampur_Cluster_10,18.7544,74.2255,Adsali,CoM 0265,Clay Loam,Rainfed,3.52,05-05-2020,13-05-2021,2021,0.765,0.573,30.6,32.9,19.6,5.67,60.1,460.8,147.02
Ahmednagar,Rahuri,Rahuri_Cluster_9,19.0311,74.9059,Suru,VSI 434,Black Cotton,Flood,2.6,18-02-2020,25-06-2021,2021,0.448,0.334,31.1,32.5,20.9,5.63,50.3,417.9,118.91
Ahmednagar,Kopargaon,Kopargaon_Cluster_16,19.1281,74.3377,Pre-seasonal,VSI 434,Clay Loam,Flood,3.19,01-08-2018,06-09-2019,2019,0.85,0.755,32.8,35.4,22.7,5.75,61.4,507.6,146.35
Ahmednagar,Shrirampur,Shrirampur_Cluster_14,19.4507,74.2742,Suru,Co 92005,Sandy Loam,Drip,4.59,01-12-2018,18-01-2020,2020,0.626,0.557,32.5,34.3,21.3,6.1,68.6,432.5,131.55
Ahmednagar,Pathardi,Pathardi_Cluster_6,18.5699,74.3836,Adsali,CoM 0265,Clay Loam,Drip,3.49,13-08-2019,12-11-2020,2020,0.85,0.589,26.8,29.3,21.4,5.6,69.5,492.7,162.02
Ahmednagar,Shrigonda,Shrigonda_Cluster_1,19.0332,74.5778,Suru,CoM 0265,Black Cotton,Rainfed,2.71,08-08-2022,22-08-2023,2023,0.389,0.324,32.6,33.8,18.9,5.36,71.3,511.1,96.31
Ahmednagar,Nevasa,Nevasa_Cluster_3,18.812,74.705,Suru,VSI 434,Sandy Loam,Drip,3.38,30-04-2019,24-06-2020,2020,0.635,0.57,29.7,31.6,20.4,6.64,59,481.5,145.06
Ahmednagar,Sangamner,Sangamner_Cluster_2,18.8818,75.0947,Suru,CoM 0265,Sandy Loam,Rainfed,0.92,03-12-2020,27-01-2022,2022,0.458,0.384,31.8,33.1,20.5,6.48,68.9,600.7,99.35
Ahmednagar,Shevgaon,Shevgaon_Cluster_5,18.8321,74.9489,Suru,Co 86032,Sandy Loam,Flood,0.52,04-09-2022,25-10-2023,2023,0.599,0.583,32.5,34.3,20.3,5.12,63.4,380.9,119.24
Ahmednagar,Akole,Akole_Cluster_11,19.2241,74.9303,Adsali,VSI 434,Black Cotton,Rainfed,4.64,24-07-2022,07-10-2023,2023,0.649,0.549,32,34,18.4,7.12,95,919.8,161.39
Ahmednagar,Karjat,Karjat_Cluster_14,19.0516,74.4839,Adsali,CoM 0265,Sandy Loam,Rainfed,2.99,09-10-2017,29-01-2019,2019,0.564,0.389,31.2,32.9,18.6,5.56,50.5,423.9,124.14
Ahmednagar,Kopargaon,Kopargaon_Cluster_8,18.5427,75.0646,Suru,VSI 434,Clay Loam,Flood,3.51,19-09-2019,19-11-2020,2020,0.343,0.229,33.7,34.7,21,6.22,66.1,456.3,92.62
Ahmednagar,Shrigonda,Shrigonda_Cluster_3,19.1413,74.8174,Pre-seasonal,Co 86032,Sandy Loam,Drip,3.51,29-06-2018,08-08-2019,2019,0.804,0.691,30.8,33.2,17.5,5,79.8,480.4,154.97
Ahmednagar,Shrirampur,Shrirampur_Cluster_12,18.5413,75.0101,Adsali,Co 86032,Black Cotton,Drip,1.59,04-05-2018,23-08-2019,2019,0.85,0.616,26.8,29.4,23.1,5.76,62.1,417.3,180
Ahmednagar,Pathardi,Pathardi_Cluster_12,19.2917,74.7961,Adsali,CoM 0265,Medium Black,Rainfed,4.3,09-12-2020,01-04-2022,2022,0.566,0.439,34.6,36.3,17.4,6.07,64.3,567.2,111.68
Ahmednagar,Sangamner,Sangamner_Cluster_12,18.7046,74.9401,Pre-seasonal,Co 92005,Black Cotton,Drip,3.75,17-12-2022,28-12-2023,2023,0.733,0.553,28.6,30.8,22.9,5.75,56.6,556.5,167.95
Ahmednagar,Shevgaon,Shevgaon_Cluster_19,18.69,74.5596,Adsali,CoM 0265,Medium Black,Rainfed,1.52,05-10-2019,14-12-2020,2020,0.674,0.517,28.3,30.3,16.6,5.12,57.6,572.3,124.64
Ahmednagar,Shrirampur,Shrirampur_Cluster_3,19.208,75.1627,Suru,CoM 0265,Clay Loam,Rainfed,4.21,02-03-2019,30-03-2020,2020,0.543,0.367,35.8,37.4,18.3,5.18,57.4,599.7,77.93
Ahmednagar,Shrirampur,Shrirampur_Cluster_2,19.0173,74.2376,Suru,Co 86032,Sandy Loam,Drip,2.58,14-08-2020,22-09-2021,2021,0.653,0.554,31.7,33.7,16.3,6.26,54.2,611.5,109.57
Ahmednagar,Karjat,Karjat_Cluster_12,18.974,75.1892,Adsali,Co 92005,Black Cotton,Drip,4.51,25-07-2020,25-10-2021,2021,0.85,0.759,30.8,33.3,23.7,5.71,53.2,429.9,180
Ahmednagar,Rahuri,Rahuri_Cluster_4,19.222,74.6108,Pre-seasonal,CoM 0265,Sandy Loam,Rainfed,3.04,29-05-2019,12-07-2020,2020,0.475,0.29,31.7,33.1,19.6,6.11,62.1,575.6,115.76
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_1,18.6945,75.0182,Pre-seasonal,Co 86032,Black Cotton,Flood,3.65,30-09-2021,28-11-2022,2022,0.711,0.544,31.1,33.2,20.6,5.71,80.5,373.8,163.2
Ahmednagar,Kopargaon,Kopargaon_Cluster_2,18.9149,74.9513,Suru,CoM 0265,Medium Black,Drip,2.33,14-10-2022,17-10-2023,2023,0.8,0.671,33.1,35.5,20.8,6.34,80.8,538.1,136.53
Ahmednagar,Sangamner,Sangamner_Cluster_15,19.3587,74.8606,Pre-seasonal,VSI 434,Medium Black,Rainfed,3.65,09-12-2022,09-04-2024,2024,0.646,0.512,32.7,34.6,17.7,6.07,62.2,670.3,134.25
Ahmednagar,Akole,Akole_Cluster_4,18.6052,74.8152,Suru,Co 92005,Black Cotton,Rainfed,1.18,17-12-2020,05-02-2022,2022,0.399,0.233,33.1,34.3,18.1,6.53,74.5,790.2,101.5
Ahmednagar,Rahata,Rahata_Cluster_7,19.1633,74.3878,Pre-seasonal,VSI 434,Sandy Loam,Drip,4.01,20-10-2022,09-02-2024,2024,0.68,0.489,29.1,31.1,21.2,5.28,53.4,365.2,122.58
Ahmednagar,Sangamner,Sangamner_Cluster_11,18.9672,74.5632,Adsali,CoM 0265,Sandy Loam,Rainfed,4.49,09-08-2021,02-09-2022,2022,0.729,0.598,30.9,33.1,22.7,5.59,50.2,628.4,117.6
Ahmednagar,Shrigonda,Shrigonda_Cluster_1,19.4502,74.4395,Adsali,VSI 434,Clay Loam,Flood,4.68,17-10-2021,01-12-2022,2022,0.85,0.734,26.3,28.9,20.5,5.14,47.4,428.6,135.91
Ahmednagar,Rahata,Rahata_Cluster_3,18.59,74.8941,Adsali,VSI 434,Medium Black,Drip,3.53,03-01-2018,31-03-2019,2019,0.85,0.673,25.9,28.4,22.1,5.49,70.5,449.2,155.07
Ahmednagar,Kopargaon,Kopargaon_Cluster_8,19.4742,74.4151,Pre-seasonal,CoM 0265,Clay Loam,Rainfed,3.08,16-09-2020,09-11-2021,2021,0.616,0.541,29.3,31.2,19.6,5.64,71.3,492.5,123.72
Ahmednagar,Sangamner,Sangamner_Cluster_1,18.6408,74.8618,Pre-seasonal,CoM 0265,Black Cotton,Rainfed,2.82,25-06-2019,25-09-2020,2020,0.538,0.327,34.2,35.8,17.9,5.12,70.7,430.1,124.23
Ahmednagar,Shrigonda,Shrigonda_Cluster_5,19.1305,74.6374,Pre-seasonal,VSI 434,Clay Loam,Drip,4.25,18-05-2020,11-07-2021,2021,0.564,0.475,28.7,30.4,19.7,5.39,54.4,634.4,139.1
Ahmednagar,Jamkhed,Jamkhed_Cluster_4,19.1055,74.7597,Pre-seasonal,Co 92005,Sandy Loam,Flood,2.27,25-12-2018,31-03-2020,2020,0.563,0.419,30.7,32.4,20.2,5.11,62.3,413.8,118.97
Ahmednagar,Shrigonda,Shrigonda_Cluster_10,18.5893,75.0846,Adsali,Co 92005,Sandy Loam,Rainfed,4.86,28-08-2022,01-10-2023,2023,0.525,0.426,29,30.5,20.2,6.05,40.6,456.4,122.89
Ahmednagar,Nevasa,Nevasa_Cluster_2,18.9933,74.3118,Adsali,CoM 0265,Black Cotton,Rainfed,1.6,11-12-2020,01-03-2022,2022,0.59,0.424,30.8,32.6,18.7,5.24,49.2,514,134
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_19,19.0569,74.7488,Pre-seasonal,CoM 0265,Medium Black,Flood,2.2,13-08-2019,25-10-2020,2020,0.715,0.612,30.6,32.7,20.8,5.2,71.8,366.7,150.84
Ahmednagar,Jamkhed,Jamkhed_Cluster_4,18.6733,74.5108,Pre-seasonal,VSI 434,Clay Loam,Rainfed,1.4,21-01-2023,07-05-2024,2024,0.533,0.437,29.2,30.8,20.5,5.92,68.3,382.7,108.2
Ahmednagar,Kopargaon,Kopargaon_Cluster_11,19.2157,74.3357,Suru,CoM 0265,Medium Black,Drip,2.15,08-01-2021,11-03-2022,2022,0.605,0.362,32,33.8,19.2,6.52,53.2,398.9,127.64
Ahmednagar,Pathardi,Pathardi_Cluster_11,19.0156,74.8164,Pre-seasonal,CoM 0265,Clay Loam,Drip,4.05,29-01-2019,14-03-2020,2020,0.807,0.704,31.3,33.7,21,5.75,65.1,580,160
Ahmednagar,Rahata,Rahata_Cluster_7,19.2366,74.7703,Pre-seasonal,Co 92005,Medium Black,Flood,1.96,16-09-2018,09-10-2019,2019,0.643,0.518,29.9,31.9,20.9,5.77,63.9,408.1,135.37
Ahmednagar,Parner,Parner_Cluster_11,19.0056,74.2278,Pre-seasonal,VSI 434,Sandy Loam,Flood,3.04,24-10-2019,16-02-2021,2021,0.659,0.614,31.7,33.7,22,5.31,63.4,337.6,123.92
Ahmednagar,Karjat,Karjat_Cluster_4,19.0588,75.0469,Suru,Co 92005,Black Cotton,Drip,3.59,15-10-2022,31-12-2023,2023,0.763,0.642,32.6,34.9,20.9,6.27,76.7,355.9,138.73
Ahmednagar,Pathardi,Pathardi_Cluster_1,18.989,74.8697,Suru,CoM 0265,Black Cotton,Drip,3.96,24-09-2018,31-10-2019,2019,0.647,0.502,33.9,35.8,24.6,5.74,74.3,436.8,136.76
Ahmednagar,Jamkhed,Jamkhed_Cluster_20,18.7421,75.0255,Suru,CoM 0265,Medium Black,Rainfed,3.2,06-11-2018,05-12-2019,2019,0.678,0.429,33.6,35.6,15.9,6.51,62.9,444.5,92.2
Ahmednagar,Sangamner,Sangamner_Cluster_18,18.9971,74.7766,Adsali,Co 86032,Black Cotton,Drip,4.43,14-08-2022,17-08-2023,2023,0.828,0.641,25,27.5,21.9,6.31,61.8,381.2,170.11
Ahmednagar,Pathardi,Pathardi_Cluster_13,18.5203,74.8738,Adsali,Co 86032,Sandy Loam,Flood,3.08,19-01-2020,11-05-2021,2021,0.85,0.713,26.8,29.3,21,6.2,68.8,440.6,160.52
Ahmednagar,Shevgaon,Shevgaon_Cluster_4,18.7724,75.06,Adsali,Co 92005,Sandy Loam,Rainfed,2.2,17-07-2019,28-11-2020,2020,0.593,0.427,31.1,32.8,22.1,6.09,65.4,545.6,118.66
Ahmednagar,Rahuri,Rahuri_Cluster_8,18.7094,75.0022,Suru,Co 86032,Sandy Loam,Drip,1.24,08-08-2022,20-10-2023,2023,0.687,0.525,30.5,32.5,20.4,5.97,68,525.4,139.02
Ahmednagar,Rahata,Rahata_Cluster_16,19.4786,74.6268,Suru,Co 92005,Sandy Loam,Flood,4.11,18-09-2021,11-01-2023,2023,0.544,0.469,29.9,31.5,19.6,6.51,65.1,547.1,108.47
Ahmednagar,Parner,Parner_Cluster_3,18.6454,74.7031,Suru,Co 92005,Medium Black,Drip,2.95,22-08-2021,28-08-2022,2022,0.641,0.483,30.8,32.7,18.5,5.68,68,342.3,130.29
Ahmednagar,Shevgaon,Shevgaon_Cluster_20,19.4485,74.9489,Adsali,Co 92005,Clay Loam,Flood,3.1,02-08-2023,11-08-2024,2024,0.759,0.572,29.6,31.9,22.7,4.94,56.7,469.3,137.57
Ahmednagar,Pathardi,Pathardi_Cluster_9,19.0101,74.8317,Adsali,CoM 0265,Medium Black,Flood,0.58,17-02-2019,02-03-2020,2020,0.717,0.561,30.6,32.7,20.5,5.94,62.2,511.8,161.62
Ahmednagar,Pathardi,Pathardi_Cluster_7,19.0086,74.5821,Adsali,VSI 434,Medium Black,Rainfed,3.65,16-02-2020,02-05-2021,2021,0.721,0.656,26.5,28.7,20.6,5.09,49.7,499,137.66
Ahmednagar,Akole,Akole_Cluster_15,19.293,74.2494,Pre-seasonal,Co 92005,Clay Loam,Rainfed,4.18,09-02-2023,25-02-2024,2024,0.458,0.477,28.5,29.9,20.1,6.06,69.8,1037.6,112.1
Ahmednagar,Rahuri,Rahuri_Cluster_14,19.2718,75.1296,Suru,Co 86032,Sandy Loam,Rainfed,1.64,22-05-2019,28-05-2020,2020,0.344,0.337,34.6,35.6,19.1,5.57,41.6,549,65.11
Ahmednagar,Shrirampur,Shrirampur_Cluster_1,18.9815,75.1129,Suru,VSI 434,Sandy Loam,Flood,0.99,31-01-2020,17-05-2021,2021,0.67,0.644,36.3,38.3,21.9,6.79,48.2,544.7,103.55
Ahmednagar,Shrirampur,Shrirampur_Cluster_12,19.2181,74.8096,Pre-seasonal,Co 92005,Medium Black,Rainfed,2.56,08-04-2019,20-04-2020,2020,0.367,0.323,30.5,31.6,17.3,4.68,51.4,510.4,79.74
Ahmednagar,Rahata,Rahata_Cluster_8,19.0704,74.3637,Suru,VSI 434,Medium Black,Rainfed,2.27,07-05-2023,22-08-2024,2024,0.53,0.462,32.6,34.2,19.6,6.51,54.8,428.3,88.23
Ahmednagar,Kopargaon,Kopargaon_Cluster_5,18.8443,75.0376,Pre-seasonal,Co 86032,Black Cotton,Flood,4.72,13-04-2020,10-08-2021,2021,0.844,0.627,29.2,31.7,20.6,5.44,80.3,570.5,155.4
Ahmednagar,Rahata,Rahata_Cluster_16,18.8003,74.8356,Adsali,Co 86032,Sandy Loam,Flood,0.59,20-01-2019,22-05-2020,2020,0.85,0.724,30.1,32.7,19,5.2,59.8,543.8,175.24
Ahmednagar,Kopargaon,Kopargaon_Cluster_8,18.6712,74.2279,Adsali,CoM 0265,Medium Black,Flood,4.49,08-10-2017,08-02-2019,2019,0.736,0.597,29.8,32,19.9,5.82,67,343.5,145.24
Ahmednagar,Shrigonda,Shrigonda_Cluster_6,19.2742,74.6337,Adsali,Co 92005,Clay Loam,Rainfed,3.2,28-08-2021,30-09-2022,2022,0.628,0.493,29.5,31.4,18.4,5.28,55.3,317.4,121.18
Ahmednagar,Sangamner,Sangamner_Cluster_18,19.2705,75.1754,Suru,VSI 434,Medium Black,Drip,2.42,23-04-2022,07-06-2023,2023,0.443,0.369,31.9,33.2,22.8,5.06,70.4,514.3,117.53
Ahmednagar,Sangamner,Sangamner_Cluster_12,19.3244,75.003,Suru,Co 92005,Clay Loam,Drip,4.37,17-12-2019,14-01-2021,2021,0.761,0.678,33.5,35.7,19.6,5.44,59.8,482,122.85
Ahmednagar,Akole,Akole_Cluster_7,18.5628,74.2526,Adsali,VSI 434,Sandy Loam,Flood,1.05,31-10-2019,01-11-2020,2020,0.636,0.549,33.5,35.4,23.3,5.48,52.5,934.9,133.57
Ahmednagar,Shrirampur,Shrirampur_Cluster_1,18.6676,74.799,Pre-seasonal,CoM 0265,Black Cotton,Flood,1.6,25-02-2021,03-06-2022,2022,0.718,0.453,32,34.1,21,4.71,73.4,406.2,148.2
Ahmednagar,Shrirampur,Shrirampur_Cluster_9,18.518,74.2211,Suru,Co 92005,Clay Loam,Flood,1.77,16-08-2018,24-11-2019,2019,0.813,0.618,29.2,31.6,21.8,5.83,70.1,557.3,118.77
Ahmednagar,Rahuri,Rahuri_Cluster_17,18.9087,74.624,Adsali,Co 92005,Sandy Loam,Rainfed,2.86,23-09-2022,05-02-2024,2024,0.675,0.561,31.8,33.8,21.9,5.57,62.7,569,114.03
Ahmednagar,Sangamner,Sangamner_Cluster_9,18.6739,74.3882,Adsali,CoM 0265,Medium Black,Rainfed,3.41,09-08-2019,08-08-2020,2020,0.681,0.496,28.5,30.5,20.5,6.13,55.3,508.4,124.85
Ahmednagar,Parner,Parner_Cluster_8,19.2974,74.9173,Suru,Co 86032,Medium Black,Drip,2.71,25-03-2022,16-07-2023,2023,0.561,0.497,34.1,35.8,16.5,5.97,67.1,629.1,118.56
Ahmednagar,Shrigonda,Shrigonda_Cluster_11,18.8057,74.6128,Suru,Co 86032,Clay Loam,Drip,1.44,27-09-2020,11-01-2022,2022,0.485,0.374,31.2,32.6,19,5.39,57.4,597.8,124.5
Ahmednagar,Rahuri,Rahuri_Cluster_1,18.7316,75.0966,Pre-seasonal,CoM 0265,Clay Loam,Flood,3.7,09-05-2018,05-06-2019,2019,0.804,0.663,29.3,31.8,17.1,5.94,72.4,727.1,162.31
Ahmednagar,Rahata,Rahata_Cluster_8,19.3185,74.4713,Adsali,Co 86032,Medium Black,Flood,2.07,08-01-2023,03-05-2024,2024,0.74,0.539,31,33.2,23.5,5.75,61.1,494.1,168.27
Ahmednagar,Karjat,Karjat_Cluster_5,18.8264,75.1927,Suru,Co 92005,Sandy Loam,Rainfed,1.62,11-02-2022,21-05-2023,2023,0.594,0.44,33.5,35.3,18.1,5.82,65.4,264,86.02
Ahmednagar,Akole,Akole_Cluster_20,19.2305,74.7815,Adsali,Co 86032,Medium Black,Drip,4.92,09-05-2020,10-08-2021,2021,0.85,0.594,30,32.5,18.5,4.45,67,818.3,158.5
Ahmednagar,Rahuri,Rahuri_Cluster_5,19.4581,74.5889,Pre-seasonal,Co 92005,Clay Loam,Drip,3.12,26-09-2023,12-11-2024,2024,0.683,0.522,30.7,32.8,18.7,5.7,70.4,646.5,138.98
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_14,18.9407,74.5956,Adsali,Co 92005,Black Cotton,Drip,4.53,28-05-2023,28-06-2024,2024,0.85,0.739,31.2,33.8,16,5.74,80.6,622.1,178.48
Ahmednagar,Parner,Parner_Cluster_3,19.2293,74.3306,Adsali,CoM 0265,Sandy Loam,Flood,4.28,12-06-2019,09-08-2020,2020,0.574,0.465,30.9,32.6,24.2,6.35,63.7,669.7,132.03
Ahmednagar,Parner,Parner_Cluster_13,19.4831,75.0222,Suru,CoM 0265,Clay Loam,Drip,0.71,27-10-2021,05-02-2023,2023,0.478,0.405,32.8,34.2,21.2,6.16,52.2,503.1,114.36
Ahmednagar,Akole,Akole_Cluster_17,18.629,74.2533,Suru,Co 86032,Medium Black,Drip,2.09,30-06-2022,24-08-2023,2023,0.457,0.493,34.2,35.6,21.1,6.32,82.7,788.6,125.41
Ahmednagar,Akole,Akole_Cluster_2,19.3655,74.3036,Pre-seasonal,CoM 0265,Sandy Loam,Flood,1.02,17-04-2019,20-05-2020,2020,0.788,0.562,30,32.3,17.8,5.06,71.8,767.1,135.23
Ahmednagar,Sangamner,Sangamner_Cluster_3,18.8484,74.6387,Adsali,Co 92005,Clay Loam,Drip,1.71,06-06-2018,17-10-2019,2019,0.684,0.609,32.1,34.1,16.9,4.99,64.7,454.9,150.37
Ahmednagar,Karjat,Karjat_Cluster_17,19.2574,75.1738,Suru,Co 86032,Clay Loam,Rainfed,3.77,22-04-2020,07-06-2021,2021,0.341,0.222,34.2,35.2,17.1,6.31,47.9,304,59.17
Ahmednagar,Kopargaon,Kopargaon_Cluster_3,18.8552,74.3092,Pre-seasonal,VSI 434,Sandy Loam,Rainfed,4.69,04-11-2022,01-03-2024,2024,0.648,0.511,30.3,32.3,16.1,5.71,49,572.2,93.12
Ahmednagar,Pathardi,Pathardi_Cluster_20,18.6162,74.3995,Adsali,CoM 0265,Sandy Loam,Drip,4.85,20-09-2020,24-09-2021,2021,0.765,0.679,28.5,30.8,15.3,5.7,70.4,455.3,168.72
Ahmednagar,Jamkhed,Jamkhed_Cluster_19,18.9101,74.435,Pre-seasonal,Co 86032,Sandy Loam,Drip,1.83,25-09-2022,29-12-2023,2023,0.85,0.67,27.8,30.4,19.7,5.6,73.8,317.8,164.08
Ahmednagar,Sangamner,Sangamner_Cluster_14,18.7266,75.164,Suru,Co 86032,Black Cotton,Drip,0.62,20-05-2023,14-06-2024,2024,0.641,0.49,30.7,32.6,22.4,6.04,67.2,536.3,149.05
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_5,19.4276,74.241,Suru,Co 86032,Clay Loam,Drip,2.04,07-07-2023,20-07-2024,2024,0.729,0.556,29.4,31.6,21.1,5.16,72.4,766.5,131.67
Ahmednagar,Karjat,Karjat_Cluster_2,19.0576,75.1511,Suru,Co 92005,Sandy Loam,Drip,4.73,19-08-2021,19-09-2022,2022,0.343,0.296,36.7,37.7,18,5.75,53.1,537.8,96.22
Ahmednagar,Pathardi,Pathardi_Cluster_3,19.2092,74.2019,Suru,Co 92005,Sandy Loam,Flood,0.69,28-03-2022,07-04-2023,2023,0.484,0.375,31.6,33.1,22.1,6.53,69.3,401.8,98.55
